"ID","sample_index","frame_index","time_seconds","accel_label","steer_label"
"OPEN_001","0","0","0.0","CONSTANT","STRAIGHT"
"OPEN_001","60","120","6.0","CONSTANT","RIGHT"
"OPEN_001","120","240","12.0","CONSTANT","LEFT"
"OPEN_001","180","360","18.0","CONSTANT","LEFT"
"OPEN_001","240","480","24.0","CONSTANT","STRAIGHT"
"OPEN_001","300","600","30.0","CONSTANT","RIGHT"
"OPEN_001","360","720","36.0","CONSTANT","STRAIGHT"
"OPEN_001","420","840","42.0","CONSTANT","STRAIGHT"
"OPEN_001","480","960","48.0","CONSTANT","STRAIGHT"
"OPEN_001","540","1080","54.0","CONSTANT","RIGHT"
"OPEN_002","0","0","0.0","CONSTANT","STRAIGHT"
"OPEN_002","60","120","6.0","CONSTANT","STRAIGHT"
"OPEN_002","120","240","12.0","CONSTANT","STRAIGHT"
"OPEN_002","180","360","18.0","CONSTANT","STRAIGHT"
"OPEN_002","240","480","24.0","CONSTANT","STRAIGHT"
"OPEN_002","300","600","30.0","CONSTANT","STRAIGHT"
"OPEN_002","360","720","36.0","CONSTANT","LEFT"
"OPEN_002","420","840","42.0","CONSTANT","LEFT"
"OPEN_002","480","960","48.0","CONSTANT","LEFT"
"OPEN_002","540","1080","54.0","ACCELERATING","STRAIGHT"
"OPEN_003","0","0","0.0","CONSTANT","STRAIGHT"
"OPEN_003","60","120","6.0","DECELERATING","STRAIGHT"
"OPEN_003","120","240","12.0","CONSTANT","STRAIGHT"
"OPEN_003","180","360","18.0","ACCELERATING","STRAIGHT"
"OPEN_003","240","480","24.0","CONSTANT","STRAIGHT"
"OPEN_003","300","600","30.0","CONSTANT","STRAIGHT"
"OPEN_003","360","720","36.0","DECELERATING","STRAIGHT"
"OPEN_003","420","840","42.0","DECELERATING","STRAIGHT"
"OPEN_003","480","960","48.0","DECELERATING","STRAIGHT"
"OPEN_003","540","1080","54.0","DECELERATING","STRAIGHT"
"OPEN_004","0","0","0.0","CONSTANT","STRAIGHT"
"OPEN_004","60","120","6.0","ACCELERATING","STRAIGHT"
"OPEN_004","120","240","12.0","ACCELERATING","STRAIGHT"
"OPEN_004","180","360","18.0","CONSTANT","STRAIGHT"
"OPEN_004","240","480","24.0","DECELERATING","STRAIGHT"
"OPEN_004","300","600","30.0","CONSTANT","STRAIGHT"
"OPEN_004","360","720","36.0","DECELERATING","STRAIGHT"
"OPEN_004","420","840","42.0","DECELERATING","STRAIGHT"
"OPEN_004","480","960","48.0","STOPPED","STRAIGHT"
"OPEN_004","540","1080","54.0","STOPPED","STRAIGHT"
"OPEN_005","0","0","0.0","STOPPED","STRAIGHT"
"OPEN_005","60","120","6.0","ACCELERATING","STRAIGHT"
"OPEN_005","120","240","12.0","ACCELERATING","STRAIGHT"
"OPEN_005","180","360","18.0","ACCELERATING","LEFT"
"OPEN_005","240","480","24.0","ACCELERATING","STRAIGHT"
"OPEN_005","300","600","30.0","ACCELERATING","STRAIGHT"
"OPEN_005","360","720","36.0","CONSTANT","RIGHT"
"OPEN_005","420","840","42.0","CONSTANT","RIGHT"
"OPEN_005","480","960","48.0","CONSTANT","STRAIGHT"
"OPEN_005","540","1080","54.0","CONSTANT","STRAIGHT"
